Frame,RawScore,EmaScore,PersonDetected
1,0,0,0
6,0.001875,0.0005625,0
11,0.00234375,0.001096875,0
16,0.00260416666666667,0.0015490625,0
21,0.00213541666666667,0.00172496875,0
26,0.00145833333333333,0.001644978125,0
31,0.00260416666666667,0.0019327346875,0
36,0.00130208333333333,0.00174353928125,0
41,0.00161458333333333,0.001704852496875,0
46,0.00286458333333333,0.0020527717478125,0
51,0.00166666666666667,0.00193694022346875,0
56,0.0009375,0.00163710815642812,0
61,0.00171875,0.00166160070949969,0
66,0.00114583333333333,0.00150687049664978,0
71,0.00114583333333333,0.00139855934765485,0
76,0.001875,0.00154149154335839,0
81,0.00161458333333333,0.00156341908035087,0
86,0.00244791666666667,0.00182876835624561,0
91,0.00302083333333333,0.00218638784937193,0
96,0.00270833333333333,0.00234297149456035,0
101,0.00390625,0.00281195504619225,0
106,0.00286458333333333,0.00282774353233457,0
111,0.0028125,0.0028231704726342,0
116,0.00260416666666667,0.00275746933084394,0
121,0.0021875,0.00258647853159076,0
126,0.00208333333333333,0.00243553497211353,0
131,0.00161458333333333,0.00218924948047947,0
136,0.00265625,0.00232934963633563,0
141,0.00234375,0.00233366974543494,0
146,0.00119791666666667,0.00199294382180446,0
151,0.00140625,0.00181693567526312,0
156,0.0015625,0.00174060497268418,0
161,0.00270833333333333,0.00203092348087893,0
166,0.00151041666666667,0.00187477143661525,0
171,0.00151041666666667,0.00176546500563067,0
176,0.00161458333333333,0.00172020050394147,0
181,0.001875,0.00176664035275903,0
186,0.000885416666666667,0.00150227324693132,0
191,0.00145833333333333,0.00148909127285192,0
196,0.00130208333333333,0.00143298889099635,0
201,0.00078125,0.00123746722369744,0
206,0.00197916666666667,0.00145997705658821,0
211,0.00203125,0.00163135893961175,0
216,0.000729166666666667,0.00136070125772822,0
221,0.00151041666666667,0.00140561588040976,0
226,0.00276041666666667,0.00181205611628683,0
231,0.00213541666666667,0.00190906428140078,0
236,0.00208333333333333,0.00196134499698055,0
241,0.00229166666666667,0.00206044149788638,0
246,0.00291666666666667,0.00231730904852047,0
251,0.00458333333333333,0.00299711633396433,0
256,0.00291666666666667,0.00297298143377503,0
261,0.0115104166666667,0.00553421200364252,0
266,0.005625,0.00556144840254976,0
271,0.00526041666666667,0.00547113888178483,0
276,0.00338541666666667,0.00484542221724938,0
281,0.00390625,0.00456367055207457,0
286,0.00380208333333333,0.0043351943864522,0
291,0.004375,0.00434713607051654,0
296,0.00286458333333333,0.00390237024936158,0
301,0.00291666666666667,0.0036066591745531,0
306,0.00239583333333333,0.00324341142218717,0
311,0.00338541666666667,0.00328601299553102,0
316,0.00270833333333333,0.00311270909687171,0
321,0.00161458333333333,0.0026632713678102,0
326,0.00151041666666667,0.00231741495746714,0
331,0.000729166666666667,0.001840940470227,0
336,0.00130208333333333,0.0016792833291589,0
341,0.00171875,0.00169112333041123,0
346,0.00109375,0.00151191133128786,0
351,0.00255208333333333,0.0018239629319015,0
356,0.001875,0.00183927405233105,0
361,0.00197916666666667,0.00188124183663174,0
366,0.0025,0.00206686928564222,0
371,0.0021875,0.00210305849994955,0
376,0.00286458333333333,0.00233151594996469,0
381,0.00333333333333333,0.00263206116497528,0
386,0.00578125,0.0035768178154827,0
391,0.0034375,0.00353502247083789,0
396,0.0021875,0.00313076572958652,0
401,0.00239583333333333,0.00291028601071056,0
406,0.00265625,0.0028340752074974,0
411,0.001875,0.00254635264524818,0
416,0.00161458333333333,0.00226682185167372,0
421,0.0015625,0.00205552529617161,0
426,0.00130208333333333,0.00182949270732012,0
431,0.00182291666666667,0.00182751989512409,0
436,0.00130208333333333,0.00166988892658686,0
441,0.00151041666666667,0.0016220472486108,0
446,0.00140625,0.00155730807402756,0
451,0.00125,0.00146511565181929,0
456,0.00078125,0.0012599559562735,0
461,0.00104166666666667,0.00119446916939145,0
466,0.000520833333333333,0.000992378418574017,0
471,0.000989583333333333,0.000991539893001812,0
476,0.000677083333333333,0.000897202925101268,0
481,0.00140625,0.00104991704757089,0
486,0.00375,0.00185994193329962,0
491,0.00307291666666667,0.00222383435330973,0
496,0.00453125,0.00291605904731681,0
501,0.00416666666666667,0.00329124133312177,0
506,0.0040625,0.00352261893318524,0
511,0.00270833333333333,0.00327833325322967,0
516,0.00604166666666667,0.00410733327726077,0
521,0.00505208333333333,0.00439075829408254,0
526,0.00197916666666667,0.00366728080585778,0
531,0.00333333333333333,0.00356709656410044,0
536,0.00291666666666667,0.00337196759487031,0
541,0.00229166666666667,0.00304787731640922,0
546,0.001875,0.00269601412148645,0
551,0.00296875,0.00277783488504052,0
